NAME,SCORE,LEVEL,EFF,ROCKS,HEALTH,PASS
Ken,10000,7,33.3,1000,33,0
Ken,108,1,0,6,-21,0
Ken,1155730,21,0.19506292,2016,62,11
Steve,11737,7,0,171,-19,6
Nick,118363,11,0,753,-4,1
Ken,12361,6,0,105,-14,0
Ken,12911,7,0.14593908,115,116,11
Paul,134268,11,0,873,100,11
Ken,1564,2,0.11801242,20,-6,0
Ken,160,1,0,7,-13,0
Ken,17156,7,0.10967099,131,53,11
Ken,1764,2,0.17857143,32,-3,9
Ken,18098,7,0.124045804,130,-10,3
Ken,1926,2,0.10084034,28,-2,0
Alex,20000,8,44.4,3000,0,5
Ken,23290,9,0.11509304,174,-9,0
Ken,23750,10,0.12847683,194,83,11
Trent,2393,3,0,38,-42,0
Ken,24105,7,0,164,-28,3
Ken,246,2,0.42857143,23,1248,11
Ken,27,2,1.2857143,24,21,11
Ken,2732,3,0.092920355,43,54,11
Ken,2777,2,0.10245901,29,-14,0
Ken,2827,2,0.10211267,33,-21,0
Peter,30000,10,55.5,4000,55,0
Ken,321,1,1.1538461,14,-4,0
Ken,34431,12,0.14315353,276,45,11
Ken,35318,12,0.13575129,262,-9,7
Ken,3564,3,0.11026616,50,-5,9
Ken,3567,3,0.09404389,51,80,11
Ken,37654,12,0.12635379,282,-34,2
Ken,39991,9,0.18758085,290,-11,1
Ken,41748,13,0.15879606,307,59,11
"hal
",435,1,0.18181819,6,-10,0
"ted
",454,1,0.11111111,10,-36,0
Ken,4544,4,0.097297296,59,67,11
Ken,4863,3,0.1328125,45,-19,3
Ken,649,2,0.6666667,32,7,11
Alan,6948,6,0,112,-5,2
Ken,7081,5,5.6419754,84,-17,0
Ken,733,1,0.16883117,14,0,0
Ken,767,1,0.12162162,9,-7,0
Ken,9228,5,0.09752322,73,-31,0
Ken,9369,6,0.12433155,93,-4,3
Ken,9657,5,0.0974359,87,-1,2
Ken,981,1,0.097222224,9,-15,0
Ken,9937,5,0.12295082,90,0,0
"fred
",0,1,0.2,3,-14,0
